"timestamp","co2","pm25","tvoc","temperature","humidity","enseigne","salle","capteur_id"
"2023-05-26 01:00:00","403.034002","14.213111","440.717610","28.753830","28.126983","Maison","Bureau","Bureau2"
"2023-05-26 01:00:00","407.447836","13.740890","442.865112","27.814628","29.249813","Maison","Bureau","Bureau3"
"2023-05-26 01:05:00","571.523667","14.679998","356.380724","27.708765","29.247115","Maison","Bureau","Bureau4"
"2023-05-26 01:05:00","404.958000","13.656052","444.843336","28.138515","29.060258","Maison","Bureau","Bureau3"
"2023-05-26 01:05:00","399.120333","14.146165","441.503998","28.817009","28.233500","Maison","Bureau","Bureau2"
"2023-05-26 01:05:00","369.150553","14.793668","193.042113","27.222190","29.633150","Maison","Bureau","Bureau1"
"2023-05-26 01:10:00","565.762390","15.127777","358.842334","27.799866","29.158080","Maison","Bureau","Bureau4"
"2023-05-26 01:10:00","399.287446","12.936000","446.603834","28.355649","28.929902","Maison","Bureau","Bureau3"
"2023-05-26 01:10:00","363.159996","13.875444","196.038052","27.459881","29.477175","Maison","Bureau","Bureau1"
"2023-05-26 01:10:00","389.292779","14.360391","442.024282","28.899877","28.326027","Maison","Bureau","Bureau2"
"2023-05-26 01:15:00","392.925113","13.758999","448.041838","28.514686","28.801299","Maison","Bureau","Bureau3"
"2023-05-26 01:15:00","360.115831","13.977164","197.542945","27.568672","29.370850","Maison","Bureau","Bureau1"
"2023-05-26 01:15:00","385.222720","13.773003","442.540281","28.989184","28.359122","Maison","Bureau","Bureau2"
"2023-05-26 01:15:00","561.566834","14.515001","358.995001","27.877159","29.301583","Maison","Bureau","Bureau4"
"2023-05-26 01:20:00","557.129166","14.670054","358.690610","27.951379","29.334673","Maison","Bureau","Bureau4"
"2023-05-26 01:20:00","386.476498","14.065277","449.281275","28.616505","28.770546","Maison","Bureau","Bureau3"
"2023-05-26 01:20:00","381.890780","13.847109","442.916721","29.080431","28.379647","Maison","Bureau","Bureau2"
"2023-05-26 01:20:00","354.508668","13.115556","200.689333","27.738499","29.260926","Maison","Bureau","Bureau1"
"2023-05-26 01:25:00","381.276110","13.821948","451.797554","28.715306","28.667194","Maison","Bureau","Bureau3"
"2023-05-26 01:25:00","550.124499","14.729332","358.187276","27.999678","29.429990","Maison","Bureau","Bureau4"
"2023-05-26 01:25:00","379.630668","13.186892","443.660669","29.127773","28.381531","Maison","Bureau","Bureau2"
"2023-05-26 01:25:00","352.855222","13.126775","202.908391","27.860839","29.108396","Maison","Bureau","Bureau1"
"2023-05-26 01:30:00","373.119165","14.287612","452.867228","28.799671","28.641654","Maison","Bureau","Bureau3"
"2023-05-26 01:30:00","374.682776","13.118667","443.764280","29.183058","28.405187","Maison","Bureau","Bureau2"
"2023-05-26 01:30:00","546.046278","14.002555","360.521499","27.983983","29.429531","Maison","Bureau","Bureau4"
"2023-05-26 01:30:00","348.988112","13.712110","205.556055","27.955523","29.102671","Maison","Bureau","Bureau1"
"2023-05-26 01:35:00","369.609835","13.829110","453.556942","28.856610","28.631764","Maison","Bureau","Bureau3"
"2023-05-26 01:35:00","370.285166","13.203501","444.362389","29.200299","28.478151","Maison","Bureau","Bureau2"
